                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.3058,                 1.0517,                 1.1986,                0.83912,                0.66503,                0.75474,                0.33026,                  2.324,                 1.2556,                 1.5103,              0.0098416,              0.0098416,              0.0098416
                     34,                 1.2936,                 1.0388,                 1.1913,                0.88148,                0.69146,                0.79579,                0.40724,                 1.8495,                 1.1219,                 1.3533,              0.0098367,              0.0098367,              0.0098367
                     35,                 1.2792,                 1.0224,                  1.185,                0.89197,                0.68646,                 0.7921,                0.40721,                 1.9289,                 1.1144,                 1.3767,              0.0098317,              0.0098317,              0.0098317
                     36,                 1.3222,                  1.079,                 1.2139,                0.88522,                0.70937,                0.81065,                 0.4124,                  1.891,                 1.0902,                  1.362,              0.0098268,              0.0098268,              0.0098268
                     37,                 1.2735,                 1.0226,                 1.1774,                0.87017,                0.70375,                 0.7982,                0.41611,                 1.8628,                 1.1317,                  1.363,              0.0098218,              0.0098218,              0.0098218
                     38,                 1.2952,                 1.0467,                 1.2019,                0.87272,                0.68625,                0.78429,                0.37572,                   2.06,                 1.1864,                 1.4242,              0.0098169,              0.0098169,              0.0098169
                     39,                 1.2762,                 0.9953,                 1.1805,                0.87294,                0.68416,                0.78248,                 0.3873,                 2.0001,                 1.1582,                 1.3968,              0.0098119,              0.0098119,              0.0098119
                     40,                 1.2503,                0.97781,                  1.175,                0.86956,                 0.6833,                 0.7889,                0.37475,                 2.0153,                 1.1699,                 1.3912,               0.009807,               0.009807,               0.009807
                     41,                 1.2911,                 1.0213,                 1.1909,                0.86695,                0.67737,                0.77298,                0.33509,                 2.2653,                 1.1734,                 1.4723,               0.009802,               0.009802,               0.009802
                     42,                 1.2513,                 1.0025,                 1.1734,                0.89968,                0.70439,                0.81639,                0.42779,                 1.8625,                 1.0658,                   1.33,               0.009797,               0.009797,               0.009797
                     43,                  1.245,                0.99743,                 1.1746,                0.87494,                0.71813,                0.80294,                0.36858,                 2.1031,                 1.1622,                 1.4051,              0.0097921,              0.0097921,              0.0097921
                     44,                 1.2628,                 1.0091,                 1.1743,                0.88351,                0.70688,                0.80389,                 0.4081,                 1.8973,                  1.142,                 1.3343,              0.0097871,              0.0097871,              0.0097871
                     45,                   1.23,                0.95368,                 1.1556,                0.91962,                 0.7425,                0.84465,                0.51225,                 1.5324,                0.94606,                 1.2214,              0.0097822,              0.0097822,              0.0097822
