                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    321,                0.67069,                0.64237,                0.88845,                0.95771,                0.83354,                0.92592,                  0.714,                0.98959,                0.58215,                0.87461,               0.008416,               0.008416,               0.008416
                    322,                0.68799,                0.64568,                0.89835,                0.95566,                 0.8352,                0.92593,                0.71432,                0.98952,                0.58174,                0.87456,               0.008411,               0.008411,               0.008411
                    323,                0.67814,                0.65508,                0.89197,                0.95589,                0.83531,                 0.9259,                0.71404,                0.98915,                0.58198,                0.87447,              0.0084061,              0.0084061,              0.0084061
                    324,                0.66452,                0.62417,                0.89279,                0.95612,                0.83531,                 0.9261,                0.71435,                 0.9889,                0.58158,                0.87439,              0.0084012,              0.0084012,              0.0084012
                    325,                0.67556,                0.64536,                0.89316,                0.95665,                0.83479,                0.92602,                0.71434,                0.98814,                0.58131,                0.87421,              0.0083962,              0.0083962,              0.0083962
                    326,                0.67455,                0.64943,                0.89263,                0.95714,                0.83542,                0.92595,                0.71449,                0.98825,                0.58159,                0.87425,              0.0083913,              0.0083913,              0.0083913
                    327,                0.66911,                0.62836,                0.89208,                 0.9567,                0.83583,                0.92588,                0.71457,                 0.9877,                0.58169,                0.87412,              0.0083863,              0.0083863,              0.0083863
                    328,                0.67758,                 0.6402,                0.89074,                 0.9577,                 0.8349,                0.92591,                0.71485,                0.98717,                0.58106,                0.87397,              0.0083814,              0.0083814,              0.0083814
                    329,                0.67055,                0.65012,                0.89861,                 0.9566,                0.83574,                0.92584,                0.71511,                0.98676,                0.58122,                0.87384,              0.0083764,              0.0083764,              0.0083764
                    330,                0.67418,                0.63867,                0.89316,                0.95617,                0.83623,                0.92583,                0.71513,                0.98681,                0.58112,                 0.8738,              0.0083715,              0.0083715,              0.0083715
                    331,                0.69331,                0.67146,                0.89995,                0.95594,                0.83604,                0.92581,                 0.7157,                0.98402,                0.57989,                0.87335,              0.0083665,              0.0083665,              0.0083665
                    332,                0.67506,                0.63768,                0.89836,                0.95641,                0.83645,                0.92583,                0.71569,                0.98355,                0.57952,                0.87318,              0.0083616,              0.0083616,              0.0083616
                    333,                0.66589,                0.64122,                0.88733,                0.95555,                0.83729,                0.92582,                  0.716,                0.98244,                 0.5799,                0.87294,              0.0083566,              0.0083566,              0.0083566
                    334,                0.67955,                0.64563,                0.89267,                0.95528,                0.83667,                0.92588,                0.71672,                0.97961,                0.57891,                0.87249,              0.0083517,              0.0083517,              0.0083517
                    335,                0.67303,                0.62272,                 0.8956,                0.95533,                0.83771,                0.92585,                0.71726,                0.97811,                0.57842,                0.87226,              0.0083467,              0.0083467,              0.0083467
                    336,                 0.6702,                0.62189,                0.89358,                0.95534,                0.83833,                0.92587,                0.71723,                0.97894,                0.57844,                0.87241,              0.0083418,              0.0083418,              0.0083418
                    337,                0.68099,                0.64883,                0.89239,                0.95513,                0.83814,                0.92592,                0.71714,                0.97897,                0.57797,                0.87246,              0.0083368,              0.0083368,              0.0083368
                    338,                0.67352,                0.65672,                0.89281,                0.95576,                0.83729,                0.92596,                 0.7181,                0.97641,                0.57771,                0.87201,              0.0083319,              0.0083319,              0.0083319
                    339,                0.67241,                0.63607,                0.89253,                0.95509,                0.83792,                0.92598,                0.71781,                0.97678,                0.57808,                0.87208,              0.0083269,              0.0083269,              0.0083269
                    340,                0.66859,                0.63951,                0.89556,                0.95532,                0.83771,                0.92592,                0.71845,                0.97398,                0.57709,                0.87163,              0.0083219,              0.0083219,              0.0083219
                    341,                0.67904,                0.65503,                0.89156,                0.95532,                0.83737,                0.92593,                0.71847,                0.97363,                0.57748,                 0.8716,               0.008317,               0.008317,               0.008317
                    342,                0.67407,                0.62775,                0.89185,                0.95532,                0.83751,                0.92596,                0.71899,                0.97255,                0.57691,                 0.8714,               0.008312,               0.008312,               0.008312
                    343,                0.68563,                0.65591,                0.89915,                0.95597,                0.83667,                0.92596,                0.71973,                0.96997,                0.57634,                0.87088,              0.0083071,              0.0083071,              0.0083071
                    344,                 0.6784,                 0.6519,                0.89409,                 0.9564,                0.83624,                0.92595,                0.71998,                0.97048,                0.57642,                0.87096,              0.0083022,              0.0083022,              0.0083022
                    345,                0.67374,                0.62713,                0.89364,                0.95663,                0.83604,                0.92599,                0.72031,                 0.9692,                0.57596,                0.87069,              0.0082972,              0.0082972,              0.0082972
                    346,                0.67118,                0.63611,                0.89355,                0.95664,                0.83645,                0.92606,                0.72062,                0.96729,                0.57506,                0.87036,              0.0082922,              0.0082922,              0.0082922
                    347,                 0.6705,                 0.6283,                0.89234,                0.95619,                0.83667,                0.92604,                0.72091,                0.96601,                 0.5749,                0.87012,              0.0082873,              0.0082873,              0.0082873
                    348,                0.66579,                0.62326,                0.89255,                0.95529,                0.83771,                0.92612,                0.72128,                0.96428,                0.57433,                0.86978,              0.0082824,              0.0082824,              0.0082824
                    349,                0.68266,                0.64201,                0.89295,                 0.9546,                0.83771,                0.92612,                0.72194,                0.96197,                0.57397,                0.86945,              0.0082774,              0.0082774,              0.0082774
                    350,                0.67256,                0.62284,                0.89387,                0.95449,                0.83729,                0.92612,                0.72158,                0.96196,                0.57368,                0.86944,              0.0082725,              0.0082725,              0.0082725
                    351,                0.67624,                0.64225,                0.89283,                0.95525,                0.83667,                0.92613,                0.72238,                0.96056,                0.57316,                0.86922,              0.0082675,              0.0082675,              0.0082675
                    352,                0.66374,                 0.6336,                0.89159,                0.95462,                0.83711,                0.92614,                0.72221,                0.96023,                0.57255,                0.86916,              0.0082626,              0.0082626,              0.0082626
                    353,                 0.6756,                0.64943,                0.89262,                0.95592,                0.83625,                0.92613,                0.72299,                0.95795,                0.57206,                0.86884,              0.0082576,              0.0082576,              0.0082576
                    354,                0.66918,                0.63856,                0.88817,                0.95485,                 0.8371,                0.92614,                0.72319,                0.95593,                0.57147,                0.86848,              0.0082527,              0.0082527,              0.0082527
                    355,                0.66678,                0.62596,                0.89167,                0.95487,                0.83742,                0.92614,                0.72404,                0.95405,                0.57147,                0.86819,              0.0082477,              0.0082477,              0.0082477
                    356,                0.67799,                0.64299,                0.88963,                0.95483,                0.83729,                0.92608,                0.72476,                0.95139,                0.57044,                 0.8678,              0.0082428,              0.0082428,              0.0082428
                    357,                0.67383,                0.64675,                0.88793,                0.95466,                0.83785,                0.92609,                 0.7249,                0.95104,                0.57019,                0.86768,              0.0082378,              0.0082378,              0.0082378
                    358,                0.67512,                0.65463,                0.89324,                0.95664,                0.83661,                0.92607,                0.72498,                0.95097,                0.57035,                0.86767,              0.0082328,              0.0082328,              0.0082328
                    359,                0.67897,                0.65547,                0.88916,                0.95628,                0.83667,                0.92605,                0.72473,                 0.9515,                 0.5702,                0.86774,              0.0082279,              0.0082279,              0.0082279
                    360,                0.67536,                0.64206,                0.89325,                0.95639,                0.83729,                0.92605,                0.72541,                0.94944,                0.56983,                0.86737,              0.0082229,              0.0082229,              0.0082229
                    361,                0.66693,                0.65181,                0.88923,                 0.9566,                0.83688,                0.92595,                0.72578,                0.94768,                0.56947,                0.86712,               0.008218,               0.008218,               0.008218
                    362,                0.67407,                0.64509,                0.88849,                0.95292,                0.83833,                  0.926,                0.72582,                0.94718,                0.56928,                0.86704,              0.0082131,              0.0082131,              0.0082131
                    363,                0.67936,                0.64063,                0.89712,                0.95291,                0.83813,                0.92604,                0.72561,                  0.947,                0.56901,                0.86703,              0.0082081,              0.0082081,              0.0082081
                    364,                0.67144,                0.64451,                0.89354,                0.95598,                0.83694,                0.92599,                0.72554,                0.94704,                0.56929,                0.86705,              0.0082032,              0.0082032,              0.0082032
                    365,                 0.6829,                 0.6381,                0.89352,                0.95458,                0.83792,                0.92604,                0.72561,                0.94705,                0.56941,                0.86709,              0.0081982,              0.0081982,              0.0081982
                    366,                0.66403,                0.64333,                0.88708,                0.95472,                0.83771,                0.92603,                0.72613,                0.94495,                0.56918,                0.86682,              0.0081932,              0.0081932,              0.0081932
                    367,                0.65869,                 0.6368,                0.88549,                0.95421,                0.83787,                0.92608,                0.72635,                0.94382,                0.56867,                0.86663,              0.0081883,              0.0081883,              0.0081883
                    368,                0.67157,                0.65789,                0.89043,                0.95424,                0.83729,                0.92604,                0.72678,                0.94254,                0.56867,                0.86637,              0.0081834,              0.0081834,              0.0081834
                    369,                0.65629,                0.62631,                0.89229,                0.95353,                0.83788,                 0.9259,                0.72691,                0.94175,                0.56855,                0.86625,              0.0081784,              0.0081784,              0.0081784
                    370,                0.67049,                0.64433,                0.89151,                0.95374,                0.83758,                0.92594,                0.72706,                0.94119,                0.56853,                0.86613,              0.0081735,              0.0081735,              0.0081735
                    371,                0.66467,                0.64911,                0.89256,                0.95357,                0.83792,                0.92602,                0.72743,                0.93995,                0.56828,                0.86596,              0.0081685,              0.0081685,              0.0081685
                    372,                0.67604,                 0.6448,                 0.8951,                0.95333,                 0.8375,                0.92605,                0.72684,                0.94155,                0.56844,                0.86618,              0.0081636,              0.0081636,              0.0081636
                    373,                0.65678,                0.60901,                0.88768,                0.96325,                   0.83,                0.92606,                0.72683,                0.94245,                0.56827,                0.86629,              0.0081586,              0.0081586,              0.0081586
                    374,                0.66971,                0.64261,                0.89315,                0.96348,                   0.83,                0.92606,                0.72677,                0.94206,                0.56821,                0.86625,              0.0081537,              0.0081537,              0.0081537
                    375,                0.65921,                0.64077,                0.89398,                 0.9608,                0.83292,                0.92609,                0.72728,                0.93985,                0.56788,                0.86593,              0.0081487,              0.0081487,              0.0081487
                    376,                0.66547,                 0.6305,                0.88801,                0.96123,                0.83271,                0.92598,                0.72758,                  0.939,                0.56814,                0.86582,              0.0081437,              0.0081437,              0.0081437
                    377,                0.66386,                0.63301,                0.89396,                0.96193,                0.83173,                0.92595,                0.72758,                0.93819,                0.56801,                0.86566,              0.0081388,              0.0081388,              0.0081388
                    378,                0.66968,                0.65004,                0.89111,                0.96186,                0.83167,                0.92596,                0.72745,                0.93837,                0.56807,                0.86566,              0.0081338,              0.0081338,              0.0081338
                    379,                0.67403,                0.64678,                  0.894,                0.96176,                0.83146,                  0.926,                0.72794,                0.93751,                0.56774,                0.86553,              0.0081289,              0.0081289,              0.0081289
                    380,                0.66162,                0.63299,                0.88912,                0.96259,                0.83089,                0.92602,                0.72768,                0.93829,                0.56769,                0.86562,              0.0081239,              0.0081239,              0.0081239
                    381,                0.66916,                0.62538,                0.89241,                0.96327,                0.83083,                  0.926,                0.72718,                0.93967,                0.56802,                0.86584,               0.008119,               0.008119,               0.008119
                    382,                0.65895,                0.62211,                0.88821,                0.96326,                0.83022,                0.92601,                0.72774,                0.93908,                0.56761,                0.86574,              0.0081141,              0.0081141,              0.0081141
                    383,                0.66472,                0.62885,                0.88618,                0.96317,                0.83042,                0.92591,                0.72778,                0.93845,                0.56793,                0.86561,              0.0081091,              0.0081091,              0.0081091
                    384,                 0.6688,                0.62626,                0.89153,                0.96326,                0.83022,                0.92587,                0.72757,                0.93842,                0.56814,                0.86565,              0.0081042,              0.0081042,              0.0081042
                    385,                0.66486,                0.64609,                0.88734,                0.96313,                0.83042,                0.92581,                0.72837,                0.93578,                0.56735,                0.86519,              0.0080992,              0.0080992,              0.0080992
                    386,                 0.6773,                0.65181,                0.89739,                0.96326,                0.83024,                0.92581,                0.72788,                0.93667,                0.56775,                0.86532,              0.0080942,              0.0080942,              0.0080942
                    387,                0.66958,                   0.64,                 0.8929,                0.96317,                0.83042,                0.92574,                0.72804,                0.93551,                0.56775,                0.86521,              0.0080893,              0.0080893,              0.0080893
                    388,                0.67177,                0.65928,                0.88938,                0.96302,                0.83042,                0.92574,                0.72878,                0.93309,                0.56736,                0.86479,              0.0080844,              0.0080844,              0.0080844
                    389,                0.65974,                0.61735,                 0.8889,                0.96349,                0.83008,                0.92578,                0.72901,                0.93216,                0.56729,                0.86465,              0.0080794,              0.0080794,              0.0080794
                    390,                0.65387,                0.62059,                 0.8828,                0.96326,                0.83024,                 0.9257,                0.72882,                0.93223,                0.56765,                0.86469,              0.0080745,              0.0080745,              0.0080745
                    391,                0.66363,                0.61876,                0.88869,                0.96327,                0.83037,                0.92567,                0.72877,                0.93263,                0.56788,                0.86477,              0.0080695,              0.0080695,              0.0080695
                    392,                 0.6645,                0.59452,                0.89129,                0.96348,                0.83005,                0.92569,                0.72886,                0.93279,                0.56795,                 0.8648,              0.0080646,              0.0080646,              0.0080646
                    393,                0.66348,                0.62224,                0.88984,                0.96392,                0.83021,                0.92568,                0.72934,                0.93117,                0.56794,                0.86452,              0.0080596,              0.0080596,              0.0080596
                    394,                0.66421,                0.63463,                0.89805,                0.96416,                0.82941,                0.92565,                0.72934,                0.93126,                0.56767,                0.86453,              0.0080547,              0.0080547,              0.0080547
                    395,                0.65944,                0.62582,                0.88874,                0.96387,                0.82937,                0.92561,                0.72945,                0.93079,                0.56779,                0.86442,              0.0080497,              0.0080497,              0.0080497
                    396,                0.66329,                0.63979,                0.89085,                0.96369,                0.82943,                0.92563,                0.72949,                0.93087,                0.56774,                0.86446,              0.0080447,              0.0080447,              0.0080447
                    397,                0.66542,                0.63404,                0.89046,                0.96392,                0.82943,                0.92565,                0.72861,                0.93325,                0.56827,                0.86481,              0.0080398,              0.0080398,              0.0080398
                    398,                 0.6686,                0.64226,                0.89339,                0.96392,                0.82922,                 0.9256,                0.72893,                0.93408,                0.56815,                  0.865,              0.0080348,              0.0080348,              0.0080348
                    399,                0.67843,                0.66753,                0.90192,                0.96392,                 0.8293,                0.92558,                0.72874,                0.93338,                0.56806,                0.86489,              0.0080299,              0.0080299,              0.0080299
                    400,                0.66433,                0.62529,                0.89384,                0.96387,                   0.83,                0.92558,                0.72825,                0.93472,                0.56882,                0.86509,              0.0080249,              0.0080249,              0.0080249
                    401,                0.67317,                0.65819,                0.88788,                0.96363,                0.82979,                0.92549,                0.72781,                0.93612,                0.56923,                0.86534,                0.00802,                0.00802,                0.00802
                    402,                0.66359,                0.62663,                0.88899,                0.96349,                0.83014,                0.92548,                0.72776,                0.93614,                0.56912,                0.86536,              0.0080151,              0.0080151,              0.0080151
                    403,                0.65857,                0.62069,                0.88713,                0.96347,                0.82965,                0.92544,                0.72762,                0.93684,                0.56972,                0.86546,              0.0080101,              0.0080101,              0.0080101
                    404,                0.67063,                0.63641,                0.89374,                0.96417,                0.82965,                0.92543,                0.72758,                0.93676,                0.56977,                0.86538,              0.0080051,              0.0080051,              0.0080051
                    405,                0.67049,                0.64147,                0.89856,                0.96347,                0.82962,                0.92541,                0.72769,                0.93656,                0.56967,                0.86534,              0.0080002,              0.0080002,              0.0080002
                    406,                 0.6568,                0.61944,                0.89252,                0.96409,                0.82958,                0.92561,                 0.7279,                0.93577,                0.56905,                0.86519,              0.0079953,              0.0079953,              0.0079953
                    407,                0.66895,                 0.6407,                0.88876,                0.96461,                0.82901,                0.92559,                0.72831,                0.93498,                0.56903,                0.86505,              0.0079903,              0.0079903,              0.0079903
                    408,                0.65604,                0.62301,                0.89144,                0.96447,                0.82937,                0.92565,                 0.7285,                0.93387,                0.56855,                0.86491,              0.0079854,              0.0079854,              0.0079854
                    409,                0.65184,                0.63007,                0.89055,                0.96436,                0.82937,                0.92566,                0.72894,                0.93259,                0.56804,                 0.8647,              0.0079804,              0.0079804,              0.0079804
                    410,                0.66681,                0.62671,                 0.8867,                0.96417,                0.82966,                0.92578,                0.72893,                0.93266,                0.56767,                0.86469,              0.0079755,              0.0079755,              0.0079755
                    411,                0.66636,                0.64081,                0.88723,                0.96393,                0.82966,                0.92576,                0.72909,                0.93263,                0.56799,                0.86466,              0.0079705,              0.0079705,              0.0079705
                    412,                0.65681,                 0.6412,                0.89273,                0.96417,                0.82973,                 0.9258,                0.72916,                 0.9315,                0.56792,                0.86447,              0.0079656,              0.0079656,              0.0079656
                    413,                0.64895,                0.60373,                0.88692,                0.96439,                 0.8295,                0.92579,                0.72957,                0.93125,                0.56824,                0.86442,              0.0079606,              0.0079606,              0.0079606
                    414,                0.66045,                0.61566,                0.88688,                0.96462,                0.82923,                0.92576,                 0.7292,                0.93117,                0.56785,                0.86447,              0.0079556,              0.0079556,              0.0079556
                    415,                0.65601,                0.63504,                0.88617,                0.96482,                0.82937,                0.92578,                0.72933,                0.93032,                0.56765,                0.86428,              0.0079507,              0.0079507,              0.0079507
                    416,                0.65468,                0.62321,                0.88747,                0.96655,                0.82812,                0.92577,                0.72931,                0.93039,                0.56783,                0.86424,              0.0079457,              0.0079457,              0.0079457
                    417,                0.65558,                0.62814,                0.88748,                0.96643,                0.82854,                0.92575,                0.72962,                0.92855,                0.56736,                0.86403,              0.0079408,              0.0079408,              0.0079408
                    418,                0.66188,                0.60834,                0.89565,                0.96619,                0.82854,                0.92571,                0.72948,                0.92845,                0.56771,                0.86407,              0.0079358,              0.0079358,              0.0079358
                    419,                0.65936,                0.60495,                0.89376,                0.96691,                0.82833,                0.92568,                0.72939,                0.92894,                0.56855,                0.86419,              0.0079309,              0.0079309,              0.0079309
                    420,                0.65662,                0.63119,                0.88684,                0.96682,                0.82812,                0.92562,                 0.7291,                0.92979,                0.56864,                0.86431,              0.0079259,              0.0079259,              0.0079259
                    421,                0.66778,                0.65982,                0.89282,                 0.9671,                0.82792,                0.92561,                 0.7289,                0.92968,                0.56898,                0.86435,               0.007921,               0.007921,               0.007921
                    422,                0.65617,                0.61629,                0.88465,                 0.9676,                0.82771,                0.92563,                0.72904,                0.93113,                0.56973,                0.86457,              0.0079161,              0.0079161,              0.0079161
                    423,                0.66574,                0.63145,                0.89387,                0.96878,                0.82729,                 0.9256,                0.72871,                0.93173,                0.57036,                0.86468,              0.0079111,              0.0079111,              0.0079111
                    424,                0.66079,                0.61806,                0.88636,                0.96846,                 0.8275,                0.92563,                0.72822,                0.93305,                0.57068,                0.86488,              0.0079061,              0.0079061,              0.0079061
                    425,                0.64935,                0.61687,                0.88336,                0.96899,                0.82667,                0.92564,                0.72832,                0.93264,                0.57081,                0.86487,              0.0079012,              0.0079012,              0.0079012
                    426,                0.64428,                 0.6058,                0.87955,                  0.969,                0.82709,                0.92559,                0.72916,                0.93088,                0.57088,                0.86462,              0.0078963,              0.0078963,              0.0078963
                    427,                0.65875,                0.63286,                0.88854,                0.96854,                 0.8275,                0.92556,                0.72915,                0.93015,                0.57088,                0.86449,              0.0078913,              0.0078913,              0.0078913
                    428,                 0.6594,                0.64372,                0.89284,                0.96877,                0.82729,                0.92548,                0.72917,                0.93033,                 0.5709,                0.86453,              0.0078864,              0.0078864,              0.0078864
                    429,                0.66759,                0.64948,                0.88793,                0.96854,                 0.8273,                0.92546,                0.72906,                0.93101,                0.57091,                0.86462,              0.0078814,              0.0078814,              0.0078814
                    430,                0.63853,                0.61523,                0.88856,                0.96876,                0.82688,                0.92553,                0.72863,                0.93165,                0.57103,                0.86472,              0.0078765,              0.0078765,              0.0078765
                    431,                0.67254,                0.64662,                0.88975,                0.96852,                0.82688,                0.92545,                 0.7289,                0.93174,                0.57148,                0.86471,              0.0078715,              0.0078715,              0.0078715
                    432,                0.66913,                0.64541,                0.89134,                0.96856,                0.82667,                0.92546,                0.72906,                0.93127,                0.57157,                0.86463,              0.0078665,              0.0078665,              0.0078665
                    433,                0.66458,                0.63142,                0.88919,                0.96839,                0.82646,                0.92542,                0.72877,                0.93156,                0.57177,                0.86468,              0.0078616,              0.0078616,              0.0078616
                    434,                0.66089,                0.64026,                0.89037,                0.96827,                0.82646,                0.92537,                 0.7288,                0.93127,                0.57202,                0.86466,              0.0078566,              0.0078566,              0.0078566
                    435,                0.66427,                 0.6288,                0.89414,                0.96829,                0.82688,                0.92537,                0.72883,                0.93076,                0.57269,                0.86461,              0.0078517,              0.0078517,              0.0078517
                    436,                0.64727,                0.62568,                0.88245,                0.96853,                0.82729,                0.92538,                0.72913,                  0.929,                0.57229,                0.86438,              0.0078467,              0.0078467,              0.0078467
                    437,                0.66264,                0.65136,                0.88759,                0.96851,                0.82688,                 0.9253,                0.72918,                 0.9284,                0.57151,                0.86432,              0.0078418,              0.0078418,              0.0078418
                    438,                0.64808,                 0.6102,                0.88694,                0.96804,                0.82729,                0.92523,                0.72925,                0.92886,                0.57193,                0.86442,              0.0078368,              0.0078368,              0.0078368
                    439,                0.65922,                0.64364,                0.88732,                0.96781,                0.82689,                0.92515,                0.72852,                0.93115,                0.57218,                0.86472,              0.0078319,              0.0078319,              0.0078319
                    440,                0.67144,                 0.6589,                0.89238,                0.96811,                0.82667,                0.92504,                0.72803,                0.93316,                0.57244,                0.86502,              0.0078269,              0.0078269,              0.0078269
                    441,                0.66551,                0.66338,                0.88806,                0.96606,                0.82812,                0.92504,                0.72856,                0.93117,                0.57254,                0.86482,               0.007822,               0.007822,               0.007822
                    442,                0.65306,                0.62547,                0.88462,                 0.9671,                0.82792,                0.92495,                0.72853,                0.93067,                0.57338,                0.86483,              0.0078171,              0.0078171,              0.0078171
                    443,                0.67228,                0.65477,                0.89074,                0.96638,                0.82771,                0.92496,                0.72875,                0.92883,                0.57372,                0.86464,              0.0078121,              0.0078121,              0.0078121
                    444,                0.65618,                0.62332,                0.88941,                0.96737,                0.82761,                 0.9249,                0.72887,                0.92887,                0.57386,                0.86468,              0.0078071,              0.0078071,              0.0078071
                    445,                0.65012,                0.62068,                0.88689,                0.96758,                0.82729,                0.92483,                0.72897,                0.92837,                0.57371,                0.86459,              0.0078022,              0.0078022,              0.0078022
                    446,                0.65358,                0.61921,                0.88226,                0.96758,                0.82689,                0.92477,                0.72912,                0.92752,                0.57352,                0.86448,              0.0077973,              0.0077973,              0.0077973
                    447,                0.65793,                0.65504,                0.88716,                0.96642,                0.82741,                0.92461,                0.72864,                0.92724,                0.57451,                0.86453,              0.0077923,              0.0077923,              0.0077923
                    448,                0.64819,                0.62154,                0.88855,                 0.9659,                 0.8275,                0.92467,                0.72884,                0.92795,                0.57475,                0.86465,              0.0077873,              0.0077873,              0.0077873
                    449,                0.65004,                0.61719,                0.89003,                 0.9645,                0.82792,                0.92455,                0.72835,                0.92914,                0.57587,                0.86485,              0.0077824,              0.0077824,              0.0077824
                    450,                0.65682,                0.64614,                0.88872,                0.96427,                0.82792,                0.92454,                0.72818,                0.92987,                0.57613,                0.86496,              0.0077774,              0.0077774,              0.0077774
                    451,                0.66604,                0.65612,                0.88705,                0.96474,                 0.8275,                0.92454,                0.72829,                0.92851,                0.57531,                0.86476,              0.0077725,              0.0077725,              0.0077725
                    452,                0.64165,                0.61009,                0.88681,                0.96501,                0.82733,                0.92449,                0.72869,                0.92651,                0.57483,                0.86445,              0.0077675,              0.0077675,              0.0077675
                    453,                0.66646,                0.64994,                0.89167,                0.96496,                0.82729,                0.92443,                  0.729,                0.92563,                0.57564,                0.86443,              0.0077626,              0.0077626,              0.0077626
                    454,                0.66074,                 0.6357,                0.88503,                0.96402,                0.82771,                0.92437,                0.72914,                0.92516,                0.57567,                0.86439,              0.0077576,              0.0077576,              0.0077576
